                   frame  Start Frame
    0.219 ms   338 cook  Forcing nodes to cook at start of frame
    0.000 ms       cook   MIDI event check: /sys/devices/midi/kaoss/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       cook   MIDI event check: /sys/devices/midi/peavey/mapmaster1/midiinmap (CHOP:midiinmap)
    0.004 ms  2775 cook    /local/time/clock (CHOP:null)
    0.014 ms  2776 cook     /local/time/scrubber (CHOP:switch)
    0.011 ms  2657 cook      /local/time/independent (CHOP:switch)
    0.025 ms  2657 cook       /local/time/cframe (CHOP:speed)
    0.003 ms  2462 cook    /sys/local/time/clock (CHOP:null)
    0.005 ms  2463 cook     /sys/local/time/scrubber (CHOP:switch)
    0.005 ms  2463 cook      /sys/local/time/independent (CHOP:switch)
    0.006 ms  2463 cook       /sys/local/time/hold1 (CHOP:hold)
    0.012 ms  2463 cook        /sys/local/time/syncframe (CHOP:limit)
    0.013 ms  2463 cook         /sys/local/time/math11 (CHOP:math)
    0.016 ms  2463 cook          /sys/local/time/math10 (CHOP:math)
    0.010 ms  2463 cook           /sys/local/time/resample2 (CHOP:resample)
    0.008 ms  2462 cook            /sys/local/time/time1 (CHOP:timeline)
    0.003 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/peavey/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/peavey/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /sys/devices/midi/bcf2000/mapmaster1/midiinmap (CHOP:midiinmap)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/bcf2000/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/bcf2000/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /sys/devices/midi/bcr2000/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/bcr2000/mapmaster1/midiout_buttons (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/bcr2000/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /sys/devices/midi/oxygen8/mapmaster1/midiinmap (CHOP:midiinmap)
    0.000 ms       cook   MIDI event check: /sys/devices/midi/motormix/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/motormix/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/motormix/mapmaster1/midiout_sliders (DAT:chopexec)
    0.001 ms       cook   MIDI event check: /sys/devices/midi/xsession/mapmaster1/midiinmap (CHOP:midiinmap)
    0.000 ms       cook   MIDI event check: /sys/devices/midi/eclernuo4/mapmaster1/midiinmap (CHOP:midiinmap)
    0.000 ms       cook   MIDI event check: /sys/devices/midi/nanoKONTROL/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/nanoKONTROL/mapmaster1/midiout_buttons (DAT:chopexec)
    0.000 ms       script   Checking CHOP channels for CHOP Execute DAT /sys/devices/midi/nanoKONTROL/mapmaster1/midiout_sliders (DAT:chopexec)
    0.003 ms       cook   CHOP_MidiOut
    0.001 ms       cook    Propagating changes to other nodes /lcroot/midi/midiout1 (CHOP:midiout)
    0.001 ms       cook   CHOP_Beat
    0.011 ms  2461 cook     /lcroot/timing/beat1 (CHOP:beat)
    0.006 ms  2461 cook      /local/master_beat (CHOP:beat)
    0.001 ms       cook   CHOP_Beat
    0.005 ms  2461 cook     /lcroot/timing/beat2 (CHOP:beat)
    0.001 ms       cook   CHOP_Beat
    0.005 ms  2461 cook     /lcroot/timing/beat4 (CHOP:beat)
    0.001 ms       cook   CHOP_Beat
    0.004 ms  2461 cook     /lcroot/timing/beat8 (CHOP:beat)
    0.002 ms       cook   CHOP_Beat
    0.004 ms  2461 cook     /lcroot/timing/beat16 (CHOP:beat)
    0.000 ms       cook   CHOP_Beat
    0.005 ms  2461 cook     /lcroot/timing/beat32 (CHOP:beat)
    0.001 ms       cook   CHOP_Beat
    0.004 ms  2461 cook     /lcroot/timing/beat64 (CHOP:beat)
    0.000 ms       cook   CHOP_Beat
    0.006 ms  2461 cook     /lcroot/timing/beat128 (CHOP:beat)
    0.000 ms       cook   CHOP_Beat
    0.005 ms  2461 cook     /lcroot/timing/beat2th (CHOP:beat)
    0.000 ms       cook   CHOP_Beat
    0.005 ms  2461 cook     /lcroot/timing/beat4th (CHOP:beat)
    0.003 ms       cook   /lcroot/basegeo/noisetz (CHOP:null Selective/Force Cook Check)
    0.005 ms  2487 cook     /lcroot/basegeo/hold2 (CHOP:hold)
    0.004 ms  2487 cook      /lcroot/basegeo/speed1 (CHOP:speed)
    0.004 ms  2488 cook       /lcroot/basegeo/math4 (CHOP:math)
    0.007 ms  2488 cook        /lcroot/basegeo/trigger1 (CHOP:trigger)
    0.005 ms  2488 cook         /lcroot/basegeo/math9 (CHOP:math)
    0.007 ms  2488 cook          /lcroot/basegeo/count1 (CHOP:count)
    0.020 ms  2488 cook           /lcroot/basegeo/select7 (CHOP:select)
    0.001 ms  2495 cook            /lcroot/timing/data (CHOP:null)
    0.012 ms  2495 cook             /lcroot/timing/rename1 (CHOP:rename)
    0.020 ms  2462 cook             /lcroot/timing/merge1 (CHOP:merge)
    0.006 ms  2487 cook      /lcroot/basegeo/trigger3 (CHOP:trigger)
    0.007 ms  2495 cook       /lcroot/basegeo/pulses (CHOP:select)
    0.001 ms  2495 cook        /lcroot/timing/pulse (CHOP:null)
    0.011 ms  2495 cook         /lcroot/timing/select2 (CHOP:select)
    0.007 ms       cook   /lcroot/routing/params (CHOP:null Selective/Force Cook Check)
    0.005 ms       cook   /lcroot/routing/defaults (CHOP:null Selective/Force Cook Check)
    0.007 ms       cook   /lcroot/triggers/null1 (CHOP:null Selective/Force Cook Check)
    0.116 ms  2961 cook     /lcroot/triggers/override1 (CHOP:override)
    0.004 ms       cook   /lcroot/expandgeo/gatedparams (CHOP:null Selective/Force Cook Check)
    0.004 ms  2959 cook     /lcroot/expandgeo/hold1 (CHOP:hold)
    0.001 ms  2959 cook      /lcroot/expandgeo/triggerpulse (CHOP:null)
    0.013 ms  2958 cook       /lcroot/expandgeo/logic1 (CHOP:logic)
    0.008 ms  2490 cook        /lcroot/expandgeo/select2 (CHOP:select)
    0.001 ms       cook   CHOP_Record
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/sidepanel/toggle_windows (DAT:chopexec)
    0.002 ms       cook   /lcroot/components/gater/null2 (CHOP:null Selective/Force Cook Check)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/mixertrack/chopexec2 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/mixertrack/alphaslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/components/freqbandctrl/chopexec1 (DAT:chopexec)
